,imdb_id,budget,Metascore
498,tt1132449,26350000,38.0
499,tt1623288,60000000,72.0
500,tt2091473,15000000,55.0
501,tt2023453,22000000,54.0
502,tt1566501,12000000,35.0
503,tt0485985,58000000,46.0
504,tt1663143,14000000,37.0
505,tt1540128,35000000,27.0
506,tt1731697,1500000,57.0
507,tt1547234,35000000,66.0
508,tt1920849,3000000,53.0
509,tt1694020,40000000,50.0
510,tt1866249,1000000,79.0
511,tt1307068,10000000,59.0
512,tt1840417,6000000,37.0
513,tt1645155,12000000,34.0
514,tt1613750,16600000,62.0
515,tt2109184,5000000,40.0
516,tt1396226,13000000,34.0
517,tt0337692,25000000,56.0
518,tt1659343,11500000,58.0
519,tt1852770,5600000,25.0
520,tt2099556,2400000,55.0
521,tt1996264,850000,55.0
522,tt1650048,9500000,73.0
523,tt1817676,5000000,45.0
524,tt1047540,25000000,36.0
525,tt1560985,1000000,18.0
526,tt1507563,25000000,23.0
527,tt1658837,18200000,52.0
528,tt1621045,12000000,51.0
529,tt2097307,2000000,50.0
530,tt1667310,12000000,52.0
531,tt1603257,3000000,34.0
532,tt1678051,8000000,19.0
533,tt2125435,1800000,86.0
534,tt1862079,750000,72.0
535,tt1867093,12000000,37.0
536,tt1433822,17000000,18.0
537,tt1707392,1000000,50.0
538,tt1602472,8000000,61.0
539,tt1990314,2500000,67.0
540,tt1480656,20500000,58.0
541,tt1577052,3000000,38.0
542,tt1885300,1500000,36.0
543,tt1710396,25,44.0
544,tt1770734,6300000,71.0
545,tt1780983,5000000,20.0
546,tt1718158,1700000,25.0
547,tt2063781,500000,71.0
548,tt1855325,65000000,39.0
549,tt1954701,300000,63.0
550,tt1758575,1250000,48.0
551,tt1876451,14000000,54.0
552,tt1790869,4000000,50.0
553,tt1079360,1100000,40.0
554,tt2149360,8000,41.0
555,tt1230215,20000000,65.0
556,tt2179087,5000000,17.0
557,tt1545106,16000000,57.0
558,tt1787988,8510000,65.0
559,tt2247692,2500000,26.0
560,tt2215719,12000000,57.0
561,tt2129928,110,66.0
562,tt2294629,150000000,75.0
563,tt1454468,105000000,96.0
564,tt1981115,170000000,54.0
565,tt1300854,200000000,62.0
566,tt1670345,75000000,50.0
567,tt1951264,130000000,76.0
568,tt0993846,100000000,75.0
569,tt1663662,180000000,65.0
570,tt1483013,120000000,54.0
571,tt1170358,250000000,66.0
572,tt0770828,225000000,55.0
573,tt1798709,23000000,91.0
574,tt1690953,76000000,62.0
575,tt1408101,190000000,72.0
576,tt2024544,20000000,96.0
577,tt1411250,38000000,49.0
578,tt1457767,13000000,68.0
579,tt1343092,105000000,55.0
580,tt1535108,115000000,61.0
581,tt1606378,92000000,28.0
582,tt2184339,3000000,41.0
583,tt1453405,200000000,65.0
584,tt0816711,200000000,63.0
585,tt0359950,90000000,54.0
586,tt1731141,110000000,51.0
587,tt1723121,37000000,44.0
588,tt1272878,61000000,55.0
589,tt1979320,38000000,74.0
590,tt1583421,130000000,41.0
591,tt2042568,11000000,93.0
592,tt2302755,70000000,41.0
593,tt1854564,90000000,39.0
594,tt1392214,46000000,70.0
595,tt1213663,20000000,81.0
596,tt1800241,40000000,90.0
597,tt1588173,35000000,60.0
598,tt2229499,6000000,66.0
599,tt1428538,50000000,23.0
600,tt1335975,175000000,28.0
601,tt1538403,60000000,33.0
602,tt0848537,100000000,52.0
603,tt1091191,40000000,60.0
604,tt0790636,5000000,79.0
605,tt0790736,130000000,25.0
606,tt1821694,84000000,47.0
607,tt1691917,50000000,39.0
608,tt2101441,5000000,63.0
609,tt1911644,13000000,51.0
610,tt1288558,17000000,57.0
611,tt1204975,28000000,48.0
612,tt2404311,30000000,42.0
613,tt2226417,5000000,40.0
614,tt1817273,15000000,68.0
615,tt2191701,80000000,19.0
616,tt1951261,103000000,30.0
617,tt0481499,135000000,55.0
618,tt2312718,22000000,40.0
619,tt1211956,50000000,49.0
620,tt1939659,30000000,53.0
621,tt1535109,55000000,82.0
622,tt2193215,25000000,48.0
623,tt2334879,150000000,52.0
624,tt1980929,8000000,62.0
625,tt1931435,35000000,28.0
626,tt1663207,12000000,60.0
627,tt1351685,195000000,51.0
628,tt2364841,30000000,36.0
629,tt1308729,55000000,48.0
630,tt1486834,11000000,59.0
631,tt2387559,26000000,44.0
632,tt1245492,32000000,67.0
633,tt3063516,15000000,54.0
634,tt1904996,35000000,42.0
635,tt1815862,130000000,33.0
636,tt1714915,7000000,79.0
637,tt2404463,43000000,60.0
638,tt2140373,35000000,65.0
639,tt1650554,28000000,41.0
640,tt2388715,5000000,61.0
641,tt1210819,255000000,37.0
642,tt1321870,60000000,40.0
643,tt2024432,35000000,35.0
644,tt1549920,30000000,54.0
645,tt1682180,12000000,58.0
646,tt1311071,1030064,65.0
647,tt2017038,9000000,87.0
648,tt1714206,2500000,82.0
649,tt1924429,20000000,61.0
650,tt1229340,50000000,61.0
651,tt1623205,200000000,44.0
652,tt1860353,135000000,58.0
653,tt1893256,20000000,43.0
654,tt1980209,25000000,45.0
655,tt1517260,44000000,35.0
656,tt1321511,30000000,49.0
657,tt1967545,18000000,52.0
658,tt2023587,15000000,57.0
659,tt1160996,16000000,28.0
660,tt1814621,13000000,48.0
661,tt1327773,25000000,65.0
662,tt1333125,6000000,18.0
663,tt1711425,13000000,34.0
664,tt0765446,40000000,35.0
665,tt1661382,40000000,35.0
666,tt2404181,10900000,64.0
667,tt2002718,12000000,41.0
668,tt1702439,28000000,34.0
669,tt2051879,125687,68.0
670,tt2170299,9500000,57.0
671,tt2132285,15000000,66.0
672,tt1985966,78000000,59.0
673,tt2334873,18000000,78.0
674,tt2343793,28000000,38.0
675,tt2243537,2500000,20.0
676,tt1602613,4800000,37.0
677,tt2053463,30000000,75.0
678,tt1924396,13500000,49.0
679,tt0790628,30000000,44.0
680,tt1935179,10000000,76.0
681,tt2103267,16000000,37.0
682,tt2058107,18000000,59.0
683,tt1235522,56000000,49.0
684,tt1762399,80000000,37.0
685,tt1767354,27000000,45.0
686,tt1763264,2900000,26.0
687,tt1684233,8500000,49.0
688,tt1559547,60000000,52.0
689,tt2005374,27220000,37.0
690,tt2017020,105000000,34.0
691,tt1951181,16000000,77.0
692,tt0453562,40000000,62.0
693,tt1426329,10000000,51.0
694,tt1727388,4600000,68.0
695,tt1837703,28000000,49.0
696,tt1376213,25000000,39.0
697,tt1747958,25500000,45.0
698,tt1430132,120000000,61.0
699,tt0882977,35000000,51.0
700,tt1621039,55000000,38.0
701,tt1821549,12000000,87.0
702,tt0795461,20000000,11.0
703,tt1785669,15600000,39.0
704,tt2016940,25000000,52.0
705,tt1171222,8500000,34.0
706,tt1659338,10000000,39.0
707,tt1322269,25000000,58.0
708,tt1450321,5000000,56.0
709,tt2209418,3000000,94.0
710,tt2473682,5000000,42.0
711,tt2357129,12000000,44.0
712,tt2387433,3500000,50.0
713,tt2294677,1000000,79.0
714,tt1413495,35000000,32.0
715,tt1654523,7700000,30.0
716,tt2094018,4000000,55.0
717,tt0804463,15000000,42.0
718,tt1206543,22000000,63.0
719,tt1758795,1500000,61.0
720,tt3148834,34000000,47.0
721,tt1838603,8200000,36.0
722,tt1905041,160000000,61.0
723,tt2573858,600000,57.0
724,tt2201548,100000,47.0
725,tt1532958,20000000,29.0
726,tt2084989,100000,81.0
727,tt1487931,20000000,40.0
728,tt2210834,10000000,58.0
729,tt2308260,2000000,45.0
730,tt1425922,17500000,48.0
731,tt2396566,1000000,83.0
732,tt2383068,4000000,49.0
733,tt1741243,5000000,26.0
734,tt2224004,7000000,38.0
735,tt1922685,10000000,40.0
736,tt2004432,8000000,44.0
737,tt2172935,18000000,61.0
738,tt0884726,70000000,25.0
739,tt1985019,4900000,42.0
740,tt1869716,6500000,68.0
741,tt2083355,17000000,59.0
742,tt2187115,1104000,77.0
743,tt2011276,950000,62.0
744,tt2318527,2500000,41.0
745,tt1981107,33000000,53.0
746,tt2292959,250000,36.0
747,tt2369205,7500000,58.0
748,tt1828959,15,40.0
749,tt1839642,4000000,51.0
750,tt1427298,567000,32.0
751,tt2395199,5000000,49.0
752,tt2345112,10000000,51.0
753,tt2193265,3500000,25.0
754,tt2034139,5000000,35.0
755,tt1932767,6000000,74.0
756,tt2304771,35000000,60.0
757,tt2431286,12000000,77.0
758,tt3074732,10,74.0
759,tt2195548,725000,73.0
760,tt1758595,15000000,35.0
761,tt1657510,7500000,37.0
762,tt2201251,4000000,36.0
763,tt2167202,18000000,22.0
764,tt2717558,1052753,70.0
765,tt2515086,10000000,49.0
766,tt2991296,89,34.0
767,tt1662293,3000000,12.0
768,tt2609222,5112027,65.0
769,tt1699755,15,52.0
770,tt1714833,11000000,35.0
771,tt1483324,2500000,60.0
772,tt2361700,1000000,69.0
773,tt1509788,3000000,37.0
774,tt2234155,58000000,42.0
775,tt2187884,650,58.0
776,tt1966566,30000000,49.0
